# Vehicle, site1,site2,site3,site4,site5
32.0000000000,0.3841713333,0.7023604876,3.6999164585,6.6096922826,8.5793276337
33.0000000000,0.3914548333,1.4407331619,5.8053968980,6.4303968980,13.9991166536
34.0000000000,0.4492856667,1.1992856667,2.3129477067,10.8277574319,10.9527574319
35.0000000000,0.4587065000,1.2541793858,2.5133133801,5.1361748546,12.8685068505
36.0000000000,0.4609523333,1.8678347270,9.0574417792,13.4221055153,14.0584838239
37.0000000000,0.4950861667,2.7460979965,7.1107617326,7.7471400412,8.7017075041
38.0000000000,0.5302836667,1.9621348610,2.7115238538,6.2566897589,14.0568855132
39.0000000000,0.5339088333,0.9089088333,2.3778984933,9.9466182490,10.1966182490
40.0000000000,0.5496190000,0.7996190000,3.0506308298,3.9256308298,6.8354066539
41.0000000000,0.5563785000,1.8291351172,2.9427971573,5.8525729813,12.2433348055
42.0000000000,0.5858151667,3.5833711375,3.8333711375,9.5056365857,10.3806365857
43.0000000000,0.5950488333,4.4747499321,7.8470003993,8.3470003993,14.7282990285
44.0000000000,0.6588613333,2.1278509933,2.3778509933,7.1856524460,7.4356524460
45.0000000000,0.6772530000,1.1545367315,2.4136707258,8.0859361740,8.3359361740
46.0000000000,0.6916948333,2.3705401591,2.6887293134,3.1084406448,3.4834406448
47.0000000000,0.7583091667,3.1831223534,11.4120706174,15.7767343535,16.2767343535
48.0000000000,0.7606826667,3.2930709752,3.4521655524,12.1510390478,12.4010390478
49.0000000000,0.7684065000,1.2456902315,1.8084431889,9.6086389433,9.9268280976
50.0000000000,0.7937653333,1.1687653333,4.1663213042,4.6436050357,4.8936050357
51.0000000000,0.7964115000,2.7660468511,3.2433305826,3.6630419140,6.6679178219
52.0000000000,0.8084680000,1.2857517315,5.6504154675,6.0254154675,14.7242889630
53.0000000000,0.8226911667,1.4522581638,1.9295418953,2.4922948527,2.9695785842
54.0000000000,0.8606196667,1.4901866638,2.1197536610,10.6345633861,10.8845633861
55.0000000000,0.8691545000,3.8667104709,4.6167104709,4.9917104709,5.7417104709
56.0000000000,0.8809675000,1.7559675000,2.1756788314,2.6529625629,10.3852945588
57.0000000000,0.8961616667,1.1461616667,1.3961616667,3.8209748534,6.0691418315
58.0000000000,0.9664961667,1.4664961667,7.8477947959,9.7364957873,10.3728740959
59.0000000000,0.9976126667,1.4748963981,1.8946077296,10.1235559936,10.2485559936
60.0000000000,1.0269030000,1.1519030000,2.4110369943,3.0406039914,9.9741113286
61.0000000000,1.0387501667,4.9184512654,5.1684512654,13.0037796815,19.3945415057
62.0000000000,1.0626366667,1.9067661029,9.4754858585,9.7254858585,10.6004858585
63.0000000000,1.0636498333,1.7000281419,3.1069105356,3.5841942671,12.2830677625
64.0000000000,1.0700050000,3.6023933086,6.9746437758,7.4746437758,8.0996437758
65.0000000000,1.1018243333,1.2609189105,4.6331693777,4.8831693777,7.5060308522
66.0000000000,1.1277391667,2.1770174952,2.4952066496,4.4648420007,13.3514952558
67.0000000000,1.1317258333,1.4499149876,6.8586916218,7.1086916218,13.4994534460
68.0000000000,1.1422208333,3.0309218248,3.4506331562,4.0802001534,4.4552001534
69.0000000000,1.1448365000,1.3546921657,3.6028591439,11.1715788995,11.4215788995
70.0000000000,1.1491095000,1.4672986543,6.2751001069,7.5342341012,9.0032237612
71.0000000000,1.1545635000,3.1241988511,3.2491988511,11.7640085762,12.0140085762
72.0000000000,1.2025283333,3.7349166419,11.0495373211,11.4245373211,14.7967877883
73.0000000000,1.2158366667,2.0599661029,2.3781552572,8.7689170813,9.5189170813
74.0000000000,1.2302318333,3.1037043151,10.9039000695,14.2761505367,15.1511505367
