# Vehicle, site1,site2,site3,site4,site5
32.0000000000,0.3841713373,0.6465115152,2.2962865197,3.3046739766,4.9578626493
33.0000000000,0.3914549088,1.2720394711,3.3215127128,3.9465127128,6.6559111292
34.0000000000,0.4492856872,1.1992856872,2.1935847345,5.6199352396,5.7449352396
35.0000000000,0.4587064415,1.1446558070,2.1500167977,3.6437767645,6.3563373373
36.0000000000,0.4609522957,1.4532708553,3.8800099273,6.0319967249,6.5874472487
37.0000000000,0.4950862373,2.0670503189,4.1548115602,4.6828442417,5.4328442417
38.0000000000,0.5302836392,1.8586746236,2.2119603267,3.2515550111,6.0047841018
39.0000000000,0.5339088389,0.9089088389,1.8498779245,4.6986793417,4.9486793417
40.0000000000,0.5496189612,0.7996189612,2.2845384579,3.2271667309,4.4513375900
41.0000000000,0.5563784509,1.6910792160,2.6001103874,3.9337092456,6.1031268625
42.0000000000,0.5858151699,2.3358703228,2.5858703228,4.4791203605,5.3541203605
43.0000000000,0.5950487914,2.5728467055,4.7629807578,5.3200277710,6.8857178254
44.0000000000,0.6588612837,1.7092775831,2.0331618551,4.1621911655,4.4121911655
45.0000000000,0.6772530506,1.0807103736,1.9507724085,3.6918761077,3.9418761077
46.0000000000,0.6916947563,1.9996051699,2.2505398173,2.5077968420,2.8927539320
47.0000000000,0.7583092179,1.8463675777,4.6720716168,7.4060207250,7.9060207250
48.0000000000,0.7606827225,2.3910204172,2.5264910158,5.6860541625,5.9391668361
49.0000000000,0.7684064694,1.1735166653,1.5228451505,4.1585791440,4.4085791440
50.0000000000,0.7937653965,1.1687653965,2.6773981125,3.1260476486,3.4071258284
51.0000000000,0.7964114233,1.9700544709,2.3450544709,2.6299307842,3.5125919233
52.0000000000,0.8084680627,1.2498261095,3.0723588892,3.4473588892,6.6594982623
53.0000000000,0.8226911932,1.2529856917,1.6620634048,2.0255618696,2.4005618696
54.0000000000,0.8606196477,1.3615331461,1.8105293903,5.1341368556,5.3841368556
55.0000000000,0.8691544890,2.5466962172,3.3951768168,3.7701768168,4.5477255569
56.0000000000,0.8809675139,1.7559675139,2.1188976031,2.5542593341,4.9887722262
57.0000000000,0.8961617391,1.1461617391,1.3961617391,2.3131769742,3.2830216894
58.0000000000,0.9664961509,1.4664961509,4.1330897934,6.5866809865,7.0868451994
59.0000000000,0.9976127403,1.4103096250,1.7257104015,4.8994871923,5.0244871923
60.0000000000,1.0269030306,1.1519030306,2.0805212153,2.5482280902,4.7312370172
